seed,tag,layer,relation,align_before,align_after,align_delta,acc_eng,acc_fr_unaligned,acc_fr_aligned,acc_fr_upper,m_fr_unal,m_fr_al,m_fr_star,cos_raw_weng_wfrstar,cos_wfrhat_wfrstar,r,n_train,n_test,shuffle_train_pairs,condition,acc_gain_fr,margin_gain_fr,cos_gain
0,shuffled,20,__all__,0.6951563954353333,0.13387174904346466,-0.5612846463918686,0.75,0.75,0.575,0.775,0.10087082535028458,0.016508260741829872,0.7226216197013855,0.45594850182533264,0.060409970581531525,256,160,40,True,shuffled,-0.17500000000000004,-0.0843625646084547,-0.3955385312438011
0,shuffled,21,__all__,0.6971800327301025,-0.0539809949696064,-0.7511610276997089,0.725,0.75,0.3,0.775,0.10982052981853485,-0.17352883517742157,0.7349472045898438,0.47652533650398254,-0.21211238205432892,256,160,40,True,shuffled,-0.45,-0.2833493649959564,-0.6886377185583115
0,shuffled,22,__all__,0.6976877450942993,0.21408696472644806,-0.48360078036785126,0.75,0.7,0.5,0.8,0.13072869181632996,-0.016001321375370026,0.7404400706291199,0.4956110417842865,-0.09999026358127594,256,160,40,True,shuffled,-0.19999999999999996,-0.14673001319169998,-0.5956013053655624
0,shuffled,23,__all__,0.6881743669509888,-0.04773102246661519,-0.735905389417604,0.65,0.675,0.7,0.775,0.11057744920253754,0.056929774371456875,0.7459897994995117,0.4928852617740631,0.13729207652321088,256,160,40,True,shuffled,0.02499999999999991,-0.05364767483108066,-0.35559318525085226
0,shuffled,24,__all__,0.6797665357589722,0.01746930554509163,-0.6622972302138805,0.675,0.75,0.575,0.75,0.12016262859106064,0.030748287215828896,0.7525120973587036,0.5047023296356201,-0.004687529988586903,256,160,40,True,shuffled,-0.17500000000000004,-0.08941434137523174,-0.509389859624207
0,shuffled,25,__all__,0.6692387461662292,-0.06012637927521551,-0.7293651254414447,0.7,0.75,0.4,0.775,0.1361997276544571,-0.10700086356084264,0.7568297386169434,0.5160956382751465,0.0011349005447457844,256,160,40,True,shuffled,-0.35,-0.24320059121529974,-0.5149607377304007
0,shuffled,26,__all__,0.6550030708312988,0.12612183473321892,-0.5288812360980799,0.775,0.775,0.575,0.775,0.15110012888908386,0.10964976007455669,0.7656201124191284,0.5237084627151489,0.05743482916526553,256,160,40,True,shuffled,-0.20000000000000007,-0.04145036881452717,-0.4662736335498834
0,shuffled,27,__all__,0.6249381303787231,-0.02895701490342617,-0.6538951452821493,0.825,0.75,0.35,0.8,0.174628347158432,-0.08225097507238388,0.7813615202903748,0.5269485116004944,-0.03475599363446236,256,160,40,True,shuffled,-0.4,-0.2568793222308159,-0.5617045052349567
0,shuffled,28,__all__,0.5826871991157532,-0.03151912532814332,-0.6142063244438964,0.725,0.775,0.625,0.775,0.12653692066669464,0.00939727946489397,0.7533586025238037,0.48400595784187317,0.004919481393908363,256,160,40,True,shuffled,-0.15000000000000002,-0.11713964120180068,-0.4790864764479648
0,shuffled,29,__all__,0.5514429211616516,0.1007469942816743,-0.4506959268799773,0.875,0.825,0.6,0.8,0.25865694880485535,0.00540914169601444,0.7857455015182495,0.6435549855232239,-0.01763835408530941,256,160,40,True,shuffled,-0.22499999999999998,-0.2532478071088409,-0.6611933396085333
